=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.11 21:28:29 =~=~=~=~=~=~=~=~=~=~=~=
230,0.90,0.14,0.45,-0.12,-0.12,-1.040.99,0.10,0.,09,0.12,-0.61,-0.31
360993,0.95,0.11,0.33,-0.43,-0.18,-0.731.00,0.06,-0.09,0.12,-0.61,-0.31
360999,0.95,0.10,0.33,-9,0.06,-0.09,0.12,-0.61,-0.31
360993,0.95,0.11,0.33,-0.43,-0.18,-0.731.00,0.06,-0.09,0.12,-0.61,-0.31
360999,0.95,0.10,0.33,-bjrbjrrbrbjrbrbjAccelerometer sample rate = 416.00 Hz

Acceleration in g's
XYZ
5,0.93,0.10,0.40,0.06,1.83,-1.711.01,0.09,0.05,-1.04,-0.24,-0.73
11,0.93,0.11,0.40,0.06,1.83,-1.711.01,0.09,0.05,-1.16,0.24,-0.73
16,0.93,0.11,0.40,-0.06,1.83,-1.651.01,0.08,0.05,-1.16,0.24,-0.73
22,0.93,0.12,0.41,-0.06,1.83,-1.651.00,0.08,0.06,-1.83,0.79,-1.04
28,0.94,0.12,0.40,-0.24,1.59,-1.531.00,0.08,0.06,-1.83,0.79,-1.04
33,0.93,0.12,0.40,-0.24,1.59,-1.530.99,0.08,0.06,-2.75,1.10,-1.53
40,0.94,0.11,0.40,-0.43,1.34,-1.340.99,0.08,0.07,-3.30,0.98,-1.83
45,0.93,0.11,0.40,-0.61,1.22,-1.340.99,0.08,0.07,-3.30,0.98,-1.83
51,0.93,0.11,0.40,-0.61,1.22,-1.340.99,0.08,0.07,-3.30,0.55,-1.83
56,0.94,0.11,0.40,-0.73,1.16,-1.340.99,0.08,0.07,-3.30,0.55,-1.83
62,0.94,0.10,0.39,-0.73,1.16,-1.340.99,0.08,0.07,-2.69,-0.06,-1.46
68,0.94,0.10,0.39,-0.79,1.04,-1.280.99,0.08,0.07,-1.59,-0.37,-1.04
74,0.94,0.09,0.40,-0.73,0.85,-1.281.00,0.09,0.07,-1.59,-0.37,-1.04
79,0.94,0.09,0.39,-0.73,0.85,-1.281.00,0.09,0.07,-0.18,-0.31,-0.67
86,0.94,0.09,0.39,-0.37,0.73,-1.341.00,0.09,0.07,0.73,-0.24,-0.49
91,0.94,0.09,0.39,-0.37,0.73,-1.341.00,0.09,0.07,0.73,-0.24,-0.49
97,0.93,0.10,0.39,0.12,0.73,-1.341.00,0.09,0.07,0.79,-0.43,-0.61
102,0.93,0.10,0.39,0.12,0.73,-1.341.00,0.09,0.07,0.79,-0.43,-0.61
108,0.93,0.10,0.40,0.37,0.67,-1.341.00,0.09,0.07,0.24,-0.73,-0.79
115,0.92,0.11,0.40,0.43,0.73,-1.281.00,0.09,0.08,-0.49,-0.98,-1.04
119,0.92,0.11,0.41,0.43,0.73,-1.280.99,0.09,0.07,-0.49,-0.98,-1.04
126,0.92,0.11,0.41,0.55,0.79,-1.160.99,0.09,0.07,-0.85,-1.16,-1.22
130,0.92,0.11,0.41,0.55,0.79,-1.160.99,0.09,0.07,-0.85,-1.16,-1.22
137,0.92,0.12,0.41,0.49,0.85,-1.160.99,0.10,0.07,-0.73,-0.98,-1.28
143,0.92,0.12,0.41,0.24,0.85,-1.041.00,0.10,0.06,-0.18,-0.37,-1.16
148,0.92,0.12,0.41,0.24,0.85,-1.041.00,0.10,0.06,-0.18,-0.37,-1.16
154,0.92,0.12,0.42,-0.06,0.79,-1.041.01,0.10,0.06,0.43,0.24,-0.92
159,0.93,0.12,0.41,-0.06,0.79,-1.041.00,0.09,0.06,0.43,0.24,-0.92
165,0.93,0.11,0.41,-0.37,0.61,-1.041.00,0.09,0.07,0.67,0.85,-0.92
170,0.93,0.11,0.40,-0.37,0.61,-1.040.99,0.09,0.06,0.67,0.85,-0.92
177,0.94,0.11,0.40,-0.67,0.43,-1.040.99,0.08,0.06,0.43,0.98,-1.10
183,0.94,0.10,0.39,-0.92,0.37,-1.100.98,0.08,0.06,0.18,0.49,-1.22
188,0.94,0.09,0.39,-0.92,0.37,-1.100.99,0.08,0.06,0.18,0.49,-1.22
194,0.94,0.09,0.39,-0.92,0.24,-1.100.99,0.08,0.06,-0.12,-0.31,-1.10
199,0.94,0.09,0.38,-0.92,0.24,-1.100.99,0.08,0.06,-0.12,-0.31,-1.10
205,0.94,0.09,0.38,-0.67,0.24,-1.100.99,0.08,0.06,-0.67,-0.98,-0.55
212,0.93,0.09,0.38,-0.24,0.31,-1.101.00,0.08,0.06,-1.40,-1.28,-0.06
216,0.93,0.09,0.39,-0.24,0.31,-1.101.00,0.08,0.06,-1.40,-1.28,-0.06
223,0.93,0.10,0.39,0.43,0.43,-1.041.00,0.09,0.06,-1.71,-1.16,0.12
228,0.93,0.10,0.39,0.43,0.43,-1.041.00,0.09,0.06,-1.28,-0.55,0.00
234,0.93,0.10,0.40,0.67,0.55,-0.851.00,0.09,0.06,-1.28,-0.55,0.00
239,0.92,0.11,0.40,0.67,0.55,-0.851.00,0.08,0.07,-0.43,-0.06,-0.31
245,0.93,0.11,0.40,0.43,0.61,-0.791.00,0.08,0.07,-0.43,-0.06,-0.31
251,0.92,0.11,0.41,0.06,0.61,-0.731.00,0.08,0.08,0.24,0.18,-0.55
257,0.92,0.11,0.41,0.06,0.61,-0.731.00,0.08,0.08,0.79,0.24,-0.73
263,0.92,0.12,0.41,-0.12,0.55,-0.671.00,0.08,0.08,0.79,0.24,-0.73
268,0.92,0.11,0.40,-0.12,0.55,-0.671.00,0.08,0.07,1.28,0.43,-0.73
274,0.93,0.12,0.40,-0.24,0.49,-0.611.00,0.09,0.07,1.28,0.43,-0.73
279,0.93,0.11,0.40,-0.24,0.49,-0.610.99,0.08,0.07,1.59,0.61,-0.67
286,0.93,0.11,0.40,-0.49,0.43,-0.670.99,0.09,0.06,1.34,0.31,-0.73
291,0.93,0.11,0.39,-0.85,0.37,-0.790.98,0.09,0.05,1.34,0.31,-0.73
297,0.93,0.12,0.39,-0.85,0.37,-0.790.98,0.09,0.05,0.73,-0.31,-0.73
302,0.94,0.11,0.40,-1.04,0.37,-0.920.99,0.10,0.05,0.73,-0.31,-0.73
308,0.94,0.10,0.40,-1.04,0.37,-0.920.98,0.10,0.05,-0.18,-1.22,-0.67
314,0.93,0.10,0.41,-0.98,0.24,-0.980.99,0.11,0.05,-1.04,-2.01,-0.49
320,0.93,0.09,0.41,-0.67,0.06,-1.040.99,0.11,0.05,-1.04,-2.01,-0.49
326,0.93,0.09,0.40,-0.67,0.06,-1.040.99,0.11,0.06,-1.65,-2.38,-0.18
331,0.93,0.09,0.40,-0.31,-0.18,-0.921.00,0.11,0.06,-1.65,-2.38,-0.18
337,0.93,0.10,0.40,-0.31,-0.18,-0.921.01,0.10,0.07,-1.95,-2.38,0.00
343,0.92,0.10,0.40,-0.18,-0.18,-0.851.01,0.10,0.07,-1.89,-1.89,0.00
349,0.92,0.10,0.40,-0.37,-0.12,-0.731.01,0.10,0.07,-1.89,-1.89,0.00
354,0.92,0.10,0.40,-0.37,-0.12,-0.731.01,0.09,0.07,-1.71,-1.10,-0.18
360,0.92,0.10,0.40,-0.55,0.00,-0.731.01,0.08,0.07,-1.71,-1.10,-0.18
365,0.92,0.10,0.40,-0.55,0.00,-0.731.01,0.07,0.07,-1.40,-0.12,-0.24
372,0.93,0.10,0.40,-0.55,0.12,-0.731.01,0.06,0.07,-1.34,0.49,-0.12
376,0.93,0.10,0.40,-0.55,0.12,-0.731.00,0.06,0.07,-1.34,0.49,-0.12
383,0.93,0.10,0.40,-0.24,0.12,-0.850.99,0.06,0.07,-1.22,0.79,-0.06
389,0.93,0.10,0.40,-0.06,0.00,-0.920.99,0.07,0.06,-1.22,0.79,-0.06
394,0.93,0.11,0.40,-0.06,0.00,-0.920.98,0.07,0.06,-1.16,0.55,-0.24
401,0.93,0.11,0.40,-0.24,-0.06,-1.040.99,0.08,0.06,-1.34,-0.18,-0.43
405,0.93,0.11,0.40,-0.24,-0.06,-1.040.99,0.08,0.06,-1.34,-0.18,-0.43
412,0.93,0.11,0.41,-0.49,-0.18,-1.040.99,0.09,0.07,-1.89,-1.28,-0.55
419,0.93,0.10,0.40,-0.73,-0.37,-0.920.99,0.09,0.07,-2.75,-2.20,-0.49
424,0.93,0.10,0.40,-0.73,-0.37,-0.921.00,0.09,0.07,-2.75,-2.20,-0.49
430,0.93,0.10,0.40,-0.85,-0.43,-0.791.00,0.09,0.07,-2.87,-2.62,-0.37
435,0.93,0.10,0.40,-0.85,-0.43,-0.791.01,0.09,0.06,-2.87,-2.62,-0.37
442,0.93,0.09,0.39,-0.67,-0.37,-0.731.01,0.08,0.06,-1.65,-2.20,-0.12
449,0.93,0.09,0.39,-0.49,-0.37,-0.671.01,0.07,0.05,0.18,-1.04,0.00
454,0.94,0.10,0.39,-0.49,-0.37,-0.671.01,0.07,0.05,0.18,-1.04,0.00
460,0.93,0.09,0.39,-0.37,-0.31,-0.731.00,0.07,0.05,1.53,0.24,-0.18
465,0.93,0.09,0.40,-0.37,-0.31,-0.731.00,0.07,0.05,1.53,0.24,-0.18
472,0.93,0.09,0.40,-0.31,-0.24,-0.851.00,0.07,0.06,1.59,0.98,-0.55
478,0.93,0.09,0.39,-0.31,-0.24,-0.980.99,0.08,0.06,0.31,0.98,-0.73
483,0.93,0.10,0.39,-0.31,-0.24,-0.980.99,0.08,0.06,0.31,0.98,-0.73
489,0.93,0.10,0.39,-0.18,-0.18,-0.980.99,0.08,0.06,-1.46,0.37,-0.61
495,0.93,0.11,0.40,-0.18,-0.18,-0.980.99,0.08,0.06,-2.69,-0.43,-0.24
501,0.93,0.11,0.39,-0.18,-0.18,-0.790.99,0.08,0.07,-2.69,-0.43,-0.24
507,0.93,0.11,0.40,-0.37,-0.06,-0.670.98,0.09,0.07,-2.87,-0.98,0.00
512,0.93,0.11,0.40,-0.37,-0.06,-0.670.98,0.09,0.08,-2.87,-0.98,0.00
519,0.93,0.11,0.40,-0.49,-0.12,-0.730.98,0.09,0.08,-2.26,-1.28,0.06
525,0.93,0.10,0.41,-0.49,-0.12,-0.730.99,0.10,0.08,-1.34,-1.53,0.00
530,0.92,0.10,0.41,-0.37,-0.18,-0.730.99,0.10,0.08,-1.34,-1.53,0.00
537,0.92,0.10,0.41,-0.18,-0.18,-0.851.00,0.10,0.08,-0.24,-1.53,0.00
542,0.92,0.10,0.41,-0.18,-0.18,-0.851.01,0.10,0.07,0.67,-1.46,-0.06
548,0.92,0.10,0.41,-0.06,-0.12,-0.921.01,0.09,0.07,0.67,-1.46,-0.06
554,0.92,0.11,0.41,-0.06,-0.12,-0.921.01,0.08,0.06,1.46,-1.16,-0.18
560,0.93,0.11,0.40,0.00,-0.12,-0.921.02,0.08,0.05,1.46,-1.16,-0.18
566,0.93,0.11,0.39,0.00,-0.18,-0.851.01,0.08,0.05,2.14,-0.55,-0.43
572,0.93,0.11,0.39,0.00,-0.18,-0.851.00,0.07,0.05,2.38,0.18,-0.55
577,0.94,0.10,0.38,-0.18,-0.24,-0.731.00,0.07,0.05,2.38,0.18,-0.55
583,0.94,0.10,0.38,-0.18,-0.24,-0.730.99,0.08,0.05,1.71,0.73,-0.73
589,0.94,0.10,0.38,-0.55,-0.18,-0.730.98,0.08,0.05,1.71,0.73,-0.73
595,0.94,0.10,0.39,-0.55,-0.18,-0.730.98,0.08,0.05,0.12,0.49,-1.04
601,0.94,0.10,0.39,-0.55,-0.18,-0.730.98,0.09,0.05,-1.53,-0.61,-1.04
606,0.94,0.09,0.39,-0.31,-0.12,-0.730.99,0.09,0.05,-1.53,-0.61,-1.04
612,0.93,0.10,0.39,-0.31,-0.12,-0.730.99,0.10,0.06,-2.81,-1.77,-0.55
619,0.93,0.10,0.39,0.00,0.00,-0.671.00,0.10,0.06,-3.48,-2.26,0.00
625,0.93,0.10,0.39,0.18,0.12,-0.611.00,0.10,0.05,-3.48,-2.26,0.00
630,0.93,0.10,0.39,0.18,0.12,-0.611.00,0.10,0.05,-3.05,-1.83,0.31
636,0.93,0.10,0.39,0.24,0.31,-0.611.01,0.08,0.05,-3.05,-1.83,0.31
641,0.93,0.09,0.39,0.24,0.31,-0.611.01,0.08,0.04,-1.46,-0.67,0.31
648,0.94,0.11,0.39,0.06,0.43,-0.731.01,0.06,0.04,0.00,0.67,0.00
653,0.93,0.11,0.39,-0.55,0.49,-0.851.01,0.06,0.04,0.00,0.67,0.00
659,0.94,0.10,0.39,-0.55,0.49,-0.851.01,0.05,0.04,0.85,1.65,-0.37
664,0.94,0.09,0.39,-0.73,0.55,-0.981.00,0.05,0.05,0.85,1.65,-0.37
670,0.94,0.10,0.39,-0.73,0.55,-0.981.00,0.05,0.06,0.85,1.77,-0.73
676,0.95,0.09,0.39,-0.98,0.49,-1.040.99,0.06,0.06,-0.06,1.04,-0.98
682,0.94,0.09,0.39,-0.98,0.37,-1.040.99,0.07,0.07,-0.06,1.04,-0.98
687,0.94,0.09,0.39,-0.98,0.37,-1.040.99,0.07,0.07,-1.22,-0.18,-0.92
693,0.94,0.09,0.39,-0.73,0.24,-0.920.98,0.08,0.08,-1.22,-0.18,-0.92
699,0.93,0.10,0.39,-0.73,0.24,-0.920.99,0.09,0.08,-1.89,-1.46,-0.73
706,0.93,0.11,0.39,-0.37,0.24,-0.730.99,0.09,0.08,-2.14,-2.44,-0.49
710,0.93,0.11,0.39,-0.37,0.24,-0.731.00,0.09,0.07,-2.14,-2.44,-0.49
718,0.93,0.11,0.39,-0.12,0.49,-0.731.01,0.10,0.07,-2.08,-2.69,-0.06
724,0.92,0.11,0.40,0.06,0.61,-0.611.00,0.09,0.07,-1.28,-2.01,0.31
729,0.92,0.10,0.41,0.06,0.61,-0.611.00,0.09,0.07,-1.28,-2.01,0.31
735,0.92,0.11,0.41,0.18,0.61,-0.551.00,0.09,0.06,-0.24,-0.67,0.06
740,0.92,0.10,0.40,0.18,0.61,-0.551.00,0.09,0.06,-0.24,-0.67,0.06
746,0.92,0.11,0.40,0.24,0.67,-0.551.00,0.08,0.05,0.73,0.49,-0.49
753,0.92,0.10,0.40,0.12,0.73,-0.551.00,0.08,0.05,1.65,1.16,-0.98
758,0.92,0.10,0.40,0.12,0.73,-0.551.01,0.08,0.04,1.65,1.16,-0.98
764,0.92,0.09,0.40,-0.24,0.79,-0.491.01,0.07,0.04,2.26,1.40,-1.22
769,0.93,0.09,0.40,-0.24,0.79,-0.491.00,0.07,0.04,2.26,1.40,-1.22
775,0.93,0.09,0.39,-0.55,0.85,-0.551.00,0.07,0.05,1.89,1.22,-1.34
782,0.93,0.09,0.39,-0.67,0.92,-0.790.99,0.06,0.05,0.92,0.92,-1.34
786,0.94,0.09,0.39,-0.67,0.92,-0.790.99,0.06,0.05,0.92,0.92,-1.34
793,0.94,0.09,0.38,-0.61,0.98,-0.850.99,0.06,0.05,0.00,0.61,-1.22
797,0.94,0.09,0.38,-0.61,0.98,-0.850.98,0.07,0.06,0.00,0.61,-1.22
804,0.94,0.09,0.38,-0.37,0.98,-0.980.98,0.07,0.06,-0.85,0.37,-0.98
809,0.94,0.09,0.38,-0.37,0.98,-0.980.99,0.07,0.06,-1.83,-0.12,-0.61
815,0.94,0.10,0.39,-0.18,1.04,-0.851.00,0.08,0.07,-1.83,-0.12,-0.61
821,0.94,0.10,0.39,0.18,1.16,-0.671.01,0.09,0.07,-2.62,-0.43,0.00
826,0.93,0.11,0.39,0.18,1.16,-0.671.01,0.09,0.07,-2.62,-0.43,0.00
833,0.93,0.11,0.39,0.24,1.22,-0.551.01,0.09,0.07,-2.81,-0.43,0.49
838,0.93,0.11,0.39,0.24,1.22,-0.551.00,0.09,0.06,-1.89,-0.06,0.18
844,0.93,0.11,0.39,0.18,1.28,-0.431.00,0.10,0.06,-1.89,-0.06,0.18
850,0.93,0.11,0.40,0.18,1.34,-0.491.00,0.09,0.06,0.18,0.31,-0.55
855,0.92,0.11,0.40,0.18,1.34,-0.490.99,0.09,0.06,0.18,0.31,-0.55
861,0.92,0.10,0.40,0.12,1.40,-0.490.99,0.08,0.06,2.14,0.49,-1.40
867,0.92,0.09,0.40,0.12,1.40,-0.490.98,0.08,0.06,3.05,0.18,-2.01
873,0.92,0.09,0.41,0.18,1.46,-0.550.99,0.08,0.07,3.05,0.18,-2.01
878,0.92,0.09,0.40,0.18,1.46,-0.550.99,0.07,0.07,2.75,-0.43,-2.14
885,0.92,0.09,0.40,0.18,1.59,-0.791.00,0.07,0.07,2.14,-0.73,-1.77
890,0.93,0.08,0.40,0.31,1.77,-0.921.00,0.07,0.07,2.14,-0.73,-1.77
896,0.93,0.09,0.40,0.31,1.77,-0.921.00,0.07,0.07,1.59,-0.49,-1.16
901,0.93,0.09,0.41,0.43,1.89,-0.980.99,0.07,0.07,1.59,-0.49,-1.16
907,0.93,0.09,0.41,0.43,1.89,-0.980.99,0.07,0.06,1.16,0.00,-0.73
913,0.93,0.08,0.41,0.37,1.95,-1.100.99,0.08,0.07,0.43,0.18,-0.61
919,0.93,0.09,0.42,0.12,1.77,-1.220.99,0.09,0.07,0.43,0.18,-0.61
924,0.93,0.09,0.42,0.12,1.77,-1.220.98,0.10,0.06,-0.73,-0.06,-0.61
930,0.93,0.09,0.42,0.18,1.46,-1.220.99,0.10,0.07,-0.73,-0.06,-0.61
936,0.92,0.10,0.43,0.18,1.46,-1.220.99,0.11,0.07,-1.95,-0.92,-0.49
942,0.92,0.10,0.43,0.43,1.16,-1.161.00,0.11,0.07,-2.81,-1.71,-0.18
948,0.92,0.10,0.42,0.49,0.85,-1.041.01,0.10,0.06,-2.81,-1.71,-0.18
953,0.92,0.10,0.42,0.49,0.85,-1.041.02,0.10,0.06,-2.69,-1.71,0.24
959,0.92,0.10,0.41,0.37,0.67,-0.921.02,0.09,0.06,-2.69,-1.71,0.24
964,0.92,0.11,0.41,0.37,0.67,-0.921.01,0.08,0.06,-1.59,-0.92,0.24
971,0.92,0.11,0.41,0.18,0.55,-0.981.01,0.07,0.06,-0.06,0.31,-0.37
975,0.93,0.11,0.41,0.18,0.55,-0.981.00,0.06,0.06,-0.06,0.31,-0.37
982,0.93,0.11,0.41,-0.18,0.43,-1.100.99,0.06,0.07,0.85,1.22,-1.16
987,0.93,0.10,0.41,-0.31,0.24,-1.160.98,0.07,0.07,0.85,1.22,-1.16
993,0.93,0.10,0.40,-0.31,0.24,-1.160.98,0.07,0.07,0.73,1.28,-1.65
999,0.93,0.10,0.40,-0.31,0.18,-1.280.98,0.07,0.07,-0.37,0.61,-1.53
1004,0.93,0.10,0.40,-0.31,0.18,-1.280.98,0.07,0.07,-0.37,0.61,-1.53
1011,0.93,0.09,0.39,-0.12,0.18,-1.280.99,0.07,0.07,-1.28,-0.31,-1.10
1016,0.93,0.09,0.39,0.12,0.24,-1.161.00,0.08,0.07,-1.28,-0.31,-1.10
1022,0.93,0.09,0.39,0.12,0.24,-1.161.00,0.08,0.07,-1.46,-1.04,-0.79
1029,0.93,0.09,0.39,0.31,0.43,-1.221.00,0.08,0.07,-0.79,-1.22,-0.73
1033,0.93,0.08,0.40,0.31,0.43,-1.221.00,0.08,0.07,-0.79,-1.22,-0.73
1040,0.92,0.08,0.40,0.43,0.61,-1.221.00,0.08,0.08,0.31,-0.85,-1.04
1047,0.92,0.08,0.40,0.61,0.79,-1.220.99,0.08,0.08,1.77,-0.43,-1.46
1052,0.92,0.09,0.41,0.61,0.79,-1.220.99,0.09,0.08,1.77,-0.43,-1.46
1058,0.92,0.09,0.41,0.85,0.98,-1.340.99,0.09,0.08,2.81,-0.37,-1.65
1063,0.92,0.09,0.41,0.85,0.98,-1.340.99,0.09,0.08,2.81,-0.37,-1.65
1070,0.92,0.10,0.41,1.10,1.10,-1.461.00,0.09,0.07,3.23,-0.73,-1.53
1076,0.92,0.10,0.41,1.22,1.16,-1.591.00,0.09,0.06,3.17,-0.92,-1.22
1081,0.92,0.11,0.41,1.22,1.16,-1.591.00,0.09,0.06,3.17,-0.92,-1.22
1087,0.92,0.12,0.41,1.22,1.16,-1.531.00,0.09,0.05,2.93,-0.92,-0.85
1092,0.92,0.12,0.42,1.22,1.16,-1.531.00,0.09,0.05,2.93,-0.92,-0.85
1099,0.93,0.12,0.41,1.04,0.98,-1.401.00,0.09,0.04,2.32,-0.55,-0.79
1105,0.93,0.12,0.41,0.73,0.73,-1.161.00,0.09,0.04,1.40,-0.06,-1.04
1110,0.93,0.12,0.41,0.73,0.73,-1.161.00,0.09,0.04,1.40,-0.06,-1.04
1116,0.93,0.12,0.41,0.31,0.55,-0.981.00,0.09,0.05,0.06,0.12,-1.28
1121,0.93,0.11,0.40,0.31,0.55,-0.981.00,0.10,0.05,0.06,0.12,-1.28
1128,0.93,0.10,0.40,-0.06,0.37,-0.980.99,0.10,0.05,-1.65,0.00,-1.40
1133,0.93,0.10,0.40,-0.06,0.37,-0.980.99,0.10,0.05,-2.81,-0.31,-1.53
1139,0.93,0.10,0.39,-0.18,0.37,-1.100.99,0.10,0.05,-2.81,-0.31,-1.53
1146,0.93,0.09,0.39,-0.18,0.43,-1.400.99,0.09,0.04,-2.56,-0.49,-1.53
1151,0.93,0.08,0.39,-0.18,0.43,-1.401.00,0.09,0.04,-1.34,-0.55,-1.34
1157,0.93,0.09,0.39,-0.31,0.49,-1.651.00,0.09,0.05,-1.34,-0.55,-1.34
1163,0.94,0.09,0.40,-0.31,0.49,-1.651.00,0.09,0.05,-0.24,-0.37,-1.10
1169,0.94,0.10,0.40,-0.18,0.55,-1.891.00,0.08,0.05,-0.24,-0.37,-1.10
1176,0.94,0.10,0.41,0.00,0.55,-2.011.00,0.08,0.05,0.24,-0.12,-0.73
1181,0.94,0.11,0.41,0.00,0.55,-2.011.00,0.08,0.06,0.12,0.00,-0.49
1187,0.94,0.11,0.41,0.06,0.37,-1.831.00,0.07,0.06,0.12,0.00,-0.49
1192,0.93,0.11,0.41,0.06,0.37,-1.831.00,0.07,0.07,-0.49,0.06,-0.37
1199,0.93,0.11,0.40,0.00,0.12,-1.651.00,0.07,0.07,-1.34,-0.31,-0.49
1204,0.93,0.11,0.40,0.12,-0.12,-1.400.99,0.08,0.08,-1.34,-0.31,-0.49
1210,0.93,0.11,0.40,0.12,-0.12,-1.401.00,0.08,0.07,-1.53,-0.67,-0.67
1216,0.92,0.10,0.40,0.24,0.06,-1.221.00,0.08,0.08,-1.53,-0.67,-0.67
1222,0.92,0.10,0.41,0.24,0.06,-1.221.00,0.09,0.08,-0.85,-0.73,-0.92
1228,0.92,0.10,0.41,0.37,0.24,-1.161.00,0.09,0.08,0.24,-0.49,-0.98
1234,0.92,0.11,0.42,0.49,0.37,-1.100.99,0.09,0.08,0.24,-0.49,-0.98
1240,0.93,0.11,0.42,0.49,0.37,-1.100.99,0.09,0.08,1.22,-0.24,-1.04
1246,0.92,0.11,0.42,0.49,0.31,-1.160.99,0.09,0.08,1.83,-0.37,-1.10
1252,0.92,0.11,0.42,0.37,0.12,-1.160.99,0.09,0.07,1.83,-0.37,-1.10
1257,0.92,0.11,0.42,0.37,0.12,-1.160.99,0.09,0.07,2.01,-0.79,-1.10
1263,0.92,0.11,0.42,0.18,0.00,-1.160.99,0.10,0.06,2.01,-0.79,-1.10
1268,0.92,0.10,0.42,0.18,0.00,-1.160.99,0.10,0.06,1.59,-1.04,-1.04
